Summit Throughtput on All Tests,Bandwidth (kB/s)
ext4_video,10206.95
ext4_video,10206.66
ext4_video,10206.27
ext4_video,10206.15
ext4_video,10206.04
sealfs_video,10205.95
ext4_video,10205.33
ext4_video,10205.27
ext4_video,10205.11
ext4_video,10205.03
ext4_video,10204.74
ext4_video,10204.65
ext4_video,10204.59
ext4_video,10204.5
ext4_video,10204.31
ext4_video,10204.23
ext4_video,10203.84
ext4_video,10203.6
ext4_video,10203.46
ext4_video,10203.38
ext4_video,10202.38
ext4_video,10201.67
ext4_video,10201.55
ext4_video,10201.04
ext4_video,10200.9
ext4_video,10200.85
ext4_video,10200.17
ext4_video,10200.12
ext4_video,10199.98
ext4_video,10199.76
ext4_video,10199.61
ext4_video,10198.91
ext4_video,10198.52
ext4_video,10198.48
ext4_video,10198.46
ext4_video,10198.41
ext4_video,10197.5
ext4_video,10197.39
ext4_video,10197.35
ext4_video,10197.31
ext4_video,10197.05
ext4_video,10196.56
ext4_video,10196.05
ext4_video,10195.79
ext4_video,10195.73
ext4_video,10195.4
sealfs_video,10192.72
ext4_video,10191.93
sealfs_video,10191.59
sealfs_video,10190.23
ext4_video,10189.9
ext4_video,10189.64
ext4_video,10189.54
ext4_video,10189.16
ext4_video,10186.92
ext4_video,10186.33
ext4_video,10186.21
ext4_video,10186.21
ext4_video,10186.18
ext4_video,10185.87
ext4_video,10184
ext4_video,10183.42
ext4_video,10183.37
sealfs_video,10183.25
ext4_video,10183.19
ext4_video,10182.81
ext4_video,10181.19
ext4_video,10180.96
ext4_video,10180.42
ext4_video,10179.91
ext4_video,10179.51
ext4_video,10179.22
ext4_video,10178.44
ext4_video,10177.85
ext4_video,10177.55
ext4_video,10177.32
sealfs_video,10177.22
ext4_video,10176.52
ext4_video,10176.13
ext4_video,10175.8
sealfs_video,10175.71
ext4_video,10175.55
ext4_video,10175.41
ext4_video,10174.79
ext4_video,10174.05
ext4_video,10173.85
ext4_video,10173.28
ext4_video,10172.42
sealfs_video,10171.7
ext4_video,10171.47
ext4_video,10171.39
ext4_video,10171.09
ext4_video,10170.73
ext4_video,10169.9
ext4_video,10169.66
ext4_video,10169.14
ext4_video,10169.01
ext4_video,10168.77
ext4_video,10168.51
ext4_video,10167.92
