Summit Bandwidth in Audio Test,bandwidth (kB/s)
sealfs,130.41
sealfs,115.94
sealfs,119.79
sealfs,119.94
sealfs,123.71
sealfs,123.61
sealfs,112.02
sealfs,119.89
sealfs,123.09
sealfs,127.49
sealfs,112.05
sealfs,123.64
sealfs,119.9
sealfs,112.07
sealfs,131.39
sealfs,119.94
sealfs,115.9
sealfs,119.83
sealfs,115.93
sealfs,131.45
sealfs,115.94
sealfs,115.91
sealfs,123.75
sealfs,112.11
sealfs,127.54
sealfs,123.68
sealfs,112.09
sealfs,123.66
sealfs,119.84
sealfs,127.65
sealfs,115.86
sealfs,119.2
sealfs,119.71
sealfs,115.98
sealfs,131.27
sealfs,119.82
sealfs,119.85
sealfs,115.85
sealfs,118.91
sealfs,127.52
sealfs,119.9
sealfs,115.98
sealfs,119.85
sealfs,119.87
sealfs,123.68
sealfs,119.95
sealfs,119.96
sealfs,115.87
sealfs,119.81
sealfs,131.47
sealfs,115.97
sealfs,115.46
sealfs,123.07
sealfs,115.4
sealfs,127.05
sealfs,115.47
sealfs,119.78
sealfs,119.71
sealfs,123.12
sealfs,126.96
sealfs,123.26
sealfs,119.2
sealfs,119.22
sealfs,119.28
sealfs,123.1
sealfs,115.4
sealfs,122.7
sealfs,119.36
sealfs,123.15
sealfs,119.23
sealfs,119.37
sealfs,123.12
sealfs,115.47
sealfs,119.15
sealfs,127.04
sealfs,115.68
sealfs,119.49
sealfs,123.74
sealfs,112.07
sealfs,131.4
sealfs,119.76
sealfs,112.14
sealfs,123.73
sealfs,119.82
sealfs,123.61
sealfs,119.23
sealfs,119.33
sealfs,115.55
sealfs,127.56
sealfs,119.88
sealfs,119.92
sealfs,119.75
sealfs,112.09
sealfs,131.37
sealfs,119.81
sealfs,112
sealfs,123.76
sealfs,119.82
sealfs,119.76
sealfs,123.7
sealfs,119.84
sealfs,123.55
sealfs,112.13
sealfs,127.51
sealfs,119.57
sealfs,115.97
sealfs,119.86
sealfs,119.79
sealfs,123.67
sealfs,116.07
sealfs,123.77
sealfs,119.66
sealfs,115.68
sealfs,127.29
sealfs,119.94
sealfs,123.67
sealfs,111.72
sealfs,119.85
sealfs,131.42
sealfs,112.13
sealfs,119.81
sealfs,123.66
sealfs,112.19
sealfs,131.59
sealfs,115.83
sealfs,115.99
sealfs,123.69
sealfs,115.95
sealfs,127.54
sealfs,115.94
sealfs,120.01
sealfs,123.48
sealfs,119.81
sealfs,116
sealfs,119.13
sealfs,123.37
sealfs,127.61
sealfs,119.81
sealfs,123.6
