Throughput on Navigation Test,bandwidth (kB/s)
tiago_sealfs,15.04
tiago_sealfs,7.54
tiago_sealfs,7.5
tiago_sealfs,7.43
tiago_sealfs,7.51
tiago_sealfs,7.35
tiago_sealfs,7.47
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.49
tiago_sealfs,7.52
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,14.99
tiago_sealfs,7.53
tiago_sealfs,7.39
tiago_sealfs,7.53
tiago_sealfs,3.77
tiago_sealfs,7.52
tiago_sealfs,15.05
tiago_sealfs,7.51
tiago_sealfs,7.53
tiago_sealfs,7.49
tiago_sealfs,7.42
tiago_sealfs,7.55
tiago_sealfs,14.87
tiago_sealfs,7.44
tiago_sealfs,7.53
tiago_sealfs,7.51
tiago_sealfs,7.51
tiago_sealfs,7.54
tiago_sealfs,7.52
tiago_sealfs,7.53
tiago_sealfs,7.52
tiago_sealfs,7.51
tiago_sealfs,7.54
tiago_sealfs,7.49
tiago_sealfs,7.52
tiago_sealfs,14.97
tiago_sealfs,11.27
tiago_sealfs,7.5
tiago_sealfs,7.54
tiago_sealfs,7.45
tiago_sealfs,3.76
tiago_sealfs,7.53
tiago_sealfs,7.52
