# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 14) + 14.608 us   |  ext4_file_write_iter();
 14) + 20.115 us   |  ext4_file_write_iter();
 14) + 15.301 us   |  ext4_file_write_iter();
 14) + 21.226 us   |  ext4_file_write_iter();
 14) + 14.791 us   |  ext4_file_write_iter();
 14) + 17.839 us   |  ext4_file_write_iter();
 14) + 19.922 us   |  ext4_file_write_iter();
 14) + 17.855 us   |  ext4_file_write_iter();
  3)   7.117 us    |  ext4_file_write_iter();
  0)   8.118 us    |  ext4_file_write_iter();
 15)   7.049 us    |  ext4_file_write_iter();
  3)   5.684 us    |  ext4_file_write_iter();
  0)   6.087 us    |  ext4_file_write_iter();
 15)   5.313 us    |  ext4_file_write_iter();
  8) + 16.128 us   |  ext4_file_write_iter();
  0)   5.628 us    |  ext4_file_write_iter();
 15)   5.103 us    |  ext4_file_write_iter();
  8)   5.897 us    |  ext4_file_write_iter();
 15) + 12.132 us   |  ext4_file_write_iter();
  0)   5.673 us    |  ext4_file_write_iter();
  8)   4.909 us    |  ext4_file_write_iter();
 15)   3.467 us    |  ext4_file_write_iter();
  0)   5.169 us    |  ext4_file_write_iter();
  8)   6.540 us    |  ext4_file_write_iter();
  0)   5.856 us    |  ext4_file_write_iter();
 15)   4.912 us    |  ext4_file_write_iter();
  8)   6.422 us    |  ext4_file_write_iter();
  5)   7.739 us    |  ext4_file_write_iter();
 12)   6.264 us    |  ext4_file_write_iter();
 14) + 18.505 us   |  ext4_file_write_iter();
 14) + 19.601 us   |  ext4_file_write_iter();
 14) + 19.452 us   |  ext4_file_write_iter();
 12) + 10.200 us   |  ext4_file_write_iter();
 14) + 16.106 us   |  ext4_file_write_iter();
 13)   7.661 us    |  ext4_file_write_iter();
 14) + 19.594 us   |  ext4_file_write_iter();
 14) + 25.269 us   |  ext4_file_write_iter();
 14) + 18.428 us   |  ext4_file_write_iter();
 14) + 20.700 us   |  ext4_file_write_iter();
 14) + 17.327 us   |  ext4_file_write_iter();
 14) + 19.064 us   |  ext4_file_write_iter();
 14) + 14.579 us   |  ext4_file_write_iter();
 14) + 18.065 us   |  ext4_file_write_iter();
 14) + 12.619 us   |  ext4_file_write_iter();
 14) + 18.459 us   |  ext4_file_write_iter();
 14) + 14.410 us   |  ext4_file_write_iter();
 14) + 20.416 us   |  ext4_file_write_iter();
 14) + 14.436 us   |  ext4_file_write_iter();
 14) + 19.264 us   |  ext4_file_write_iter();
 14) + 15.452 us   |  ext4_file_write_iter();
 14) + 19.781 us   |  ext4_file_write_iter();
 14) + 15.403 us   |  ext4_file_write_iter();
  3)   7.371 us    |  ext4_file_write_iter();
 ------------------------------------------
  2)  rosmast-2919  =>  <...>-339814 
 ------------------------------------------

  2)   8.026 us    |  ext4_file_write_iter();
 15)   7.029 us    |  ext4_file_write_iter();
  3)   5.933 us    |  ext4_file_write_iter();
  2)   6.013 us    |  ext4_file_write_iter();
 15)   6.002 us    |  ext4_file_write_iter();
  3)   6.033 us    |  ext4_file_write_iter();
  2)   5.935 us    |  ext4_file_write_iter();
 15) + 13.632 us   |  ext4_file_write_iter();
  3)   5.037 us    |  ext4_file_write_iter();
 15)   5.391 us    |  ext4_file_write_iter();
  2)   4.803 us    |  ext4_file_write_iter();
  3)   5.344 us    |  ext4_file_write_iter();
  2)   5.592 us    |  ext4_file_write_iter();
 15)   5.949 us    |  ext4_file_write_iter();
  3)   8.523 us    |  ext4_file_write_iter();
 ------------------------------------------
 12)  rosout-2109   =>  <...>-339814 
 ------------------------------------------

 12)   7.627 us    |  ext4_file_write_iter();
 15)   6.312 us    |  ext4_file_write_iter();
  3)   7.876 us    |  ext4_file_write_iter();
 12)   6.631 us    |  ext4_file_write_iter();
 15)   5.366 us    |  ext4_file_write_iter();
 14) + 24.726 us   |  ext4_file_write_iter();
  3)   5.872 us    |  ext4_file_write_iter();
 12)   5.841 us    |  ext4_file_write_iter();
 15)   5.043 us    |  ext4_file_write_iter();
 ------------------------------------------
 15)  rosout-2109   =>  rosmon-2629  
 ------------------------------------------

 15) + 10.641 us   |  ext4_file_write_iter();
  3)   4.546 us    |  ext4_file_write_iter();
 ------------------------------------------
 15)  rosmon-2629   =>  rosout-2109  
 ------------------------------------------

 15)   8.801 us    |  ext4_file_write_iter();
 12) + 11.982 us   |  ext4_file_write_iter();
 14) + 17.465 us   |  ext4_file_write_iter();
 14) + 18.368 us   |  ext4_file_write_iter();
 15)   7.700 us    |  ext4_file_write_iter();
 14) + 17.268 us   |  ext4_file_write_iter();
 13)   7.174 us    |  ext4_file_write_iter();
 14) + 16.763 us   |  ext4_file_write_iter();
