# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 6) * 11052.59 us |  sealfs_write [sealfs]();
 6) * 13259.06 us |  sealfs_write [sealfs]();
 6) * 11011.15 us |  sealfs_write [sealfs]();
 6) * 10737.34 us |  sealfs_write [sealfs]();
 ------------------------------------------
 2)  collect-1283  => ros1sea-362505
 ------------------------------------------

 2) * 12019.50 us |  sealfs_write [sealfs]();
 6) * 11511.37 us |  sealfs_write [sealfs]();
 6) * 17309.76 us |  sealfs_write [sealfs]();
 6) * 12479.73 us |  sealfs_write [sealfs]();
 6) * 11184.38 us |  sealfs_write [sealfs]();
 6) * 11457.96 us |  sealfs_write [sealfs]();
 2) * 11024.17 us |  sealfs_write [sealfs]();
 6) * 10820.77 us |  sealfs_write [sealfs]();
 6) * 11410.11 us |  sealfs_write [sealfs]();
 2) * 11078.41 us |  sealfs_write [sealfs]();
 ------------------------------------------
 3) (openvp-365489 =>  <...>-366988 
 ------------------------------------------

 3)   2.351 us    |  sealfs_show_options [sealfs]();
 3)   0.638 us    |  sealfs_show_options [sealfs]();
 ------------------------------------------
 4) openvpn-366488 =>  <...>-366988 
 ------------------------------------------

 4)   1.197 us    |  sealfs_show_options [sealfs]();
 4)   0.435 us    |  sealfs_show_options [sealfs]();
 4)   0.815 us    |  sealfs_show_options [sealfs]();
 4)   0.656 us    |  sealfs_show_options [sealfs]();
 4)   0.804 us    |  sealfs_show_options [sealfs]();
