TiAGo Throughtput on Audio Test,Bandwidth (kB/s)
sealfs,127.97
ext4,127.96
sealfs,127.96
sealfs,127.96
ext4,127.95
sealfs,127.95
sealfs,127.95
ext4,127.94
ext4,127.94
sealfs,127.94
sealfs,127.94
ext4,127.93
ext4,127.93
ext4,127.93
sealfs,127.93
sealfs,127.93
sealfs,127.93
ext4,127.92
ext4,127.92
ext4,127.92
sealfs,127.92
ext4,127.91
ext4,127.91
sealfs,127.91
sealfs,127.91
sealfs,127.9
ext4,127.89
ext4,127.89
ext4,127.89
sealfs,127.89
sealfs,127.89
sealfs,127.89
ext4,127.88
sealfs,127.87
sealfs,127.86
sealfs,127.86
ext4,127.85
ext4,127.85
ext4,127.84
ext4,127.84
ext4,127.84
ext4,127.84
ext4,127.84
ext4,127.83
ext4,127.83
sealfs,127.83
sealfs,127.83
ext4,127.82
sealfs,127.82
sealfs,127.82
ext4,127.81
ext4,127.81
ext4,127.81
sealfs,127.81
ext4,127.8
ext4,127.8
sealfs,127.8
sealfs,127.8
ext4,127.79
sealfs,127.79
ext4,127.78
ext4,127.78
ext4,127.78
sealfs,127.78
ext4,127.77
sealfs,127.77
sealfs,127.77
sealfs,127.77
sealfs,127.76
ext4,127.75
ext4,127.75
ext4,127.74
ext4,127.74
ext4,127.74
ext4,127.74
sealfs,127.74
ext4,127.73
ext4,127.73
ext4,127.73
ext4,127.73
ext4,127.73
ext4,127.73
sealfs,127.73
sealfs,127.72
sealfs,127.72
ext4,127.71
ext4,127.71
ext4,127.71
sealfs,127.7
sealfs,127.69
ext4,127.68
ext4,127.68
ext4,127.68
sealfs,127.68
ext4,127.67
ext4,127.67
sealfs,127.67
sealfs,127.67
ext4,127.66
ext4,127.66
ext4,127.65
sealfs,127.65
sealfs,127.65
sealfs,127.65
sealfs,127.64
sealfs,127.64
sealfs,127.64
sealfs,127.64
sealfs,127.64
sealfs,127.63
sealfs,127.63
ext4,127.62
sealfs,127.62
sealfs,127.62
ext4,127.61
sealfs,127.61
ext4,127.6
ext4,127.6
sealfs,127.6
sealfs,127.6
ext4,127.59
sealfs,127.59
ext4,127.58
ext4,127.58
ext4,127.57
ext4,127.57
ext4,127.57
sealfs,127.57
ext4,127.56
ext4,127.56
sealfs,127.56
sealfs,127.56
sealfs,127.55
sealfs,127.55
ext4,127.54
ext4,127.54
ext4,127.54
sealfs,127.54
sealfs,127.54
ext4,127.53
ext4,127.53
sealfs,127.53
sealfs,127.53
ext4,127.52
ext4,127.51
sealfs,127.5
ext4,127.49
ext4,127.49
ext4,127.49
sealfs,127.49
ext4,127.48
ext4,127.48
sealfs,127.48
ext4,127.47
sealfs,127.47
ext4,127.46
ext4,127.46
sealfs,127.46
sealfs,127.45
sealfs,127.45
sealfs,127.45
ext4,127.44
ext4,127.44
ext4,127.44
sealfs,127.44
ext4,127.43
ext4,127.42
ext4,127.42
ext4,127.42
sealfs,127.42
ext4,127.4
ext4,127.4
ext4,127.4
ext4,127.4
ext4,127.38
sealfs,127.38
ext4,127.37
ext4,127.37
ext4,127.37
sealfs,127.36
ext4,127.35
sealfs,127.35
sealfs,127.35
ext4,127.34
ext4,127.34
sealfs,127.34
ext4,127.33
ext4,127.32
sealfs,127.32
ext4,127.31
ext4,127.31
sealfs,127.31
sealfs,127.31
ext4,127.3
ext4,127.3
ext4,127.3
sealfs,127.3
sealfs,127.3
sealfs,127.3
ext4,127.29
sealfs,127.29
ext4,127.28
sealfs,127.28
sealfs,127.28
ext4,127.27
