Summit Latency on Video Test,time (uS)
ext4_write,1417.211
ext4_write,1417.229
ext4_write,1417.239
ext4_write,1417.261
ext4_write,1417.271
ext4_write,1417.304
ext4_write,1417.358
ext4_write,1417.363
ext4_write,1417.378
ext4_write,1417.409
ext4_write,1417.52
ext4_write,1417.582
ext4_write,1417.629
ext4_write,1417.641
ext4_write,1417.667
ext4_write,1417.764
ext4_write,1417.787
ext4_write,1417.798
ext4_write,1417.803
ext4_write,1417.844
ext4_write,1417.882
ext4_write,1417.885
ext4_write,1417.895
ext4_write,1417.95
ext4_write,1417.951
ext4_write,1417.98
ext4_write,1417.982
ext4_write,1418.02
ext4_write,1418.026
ext4_write,1418.028
ext4_write,1418.04
ext4_write,1418.117
ext4_write,1418.147
ext4_write,1418.184
ext4_write,1418.189
ext4_write,1418.203
ext4_write,1418.247
ext4_write,1418.269
ext4_write,1418.28
ext4_write,1418.286
ext4_write,1418.317
ext4_write,1418.338
ext4_write,1418.385
ext4_write,1418.391
ext4_write,1418.472
ext4_write,1418.505
ext4_write,1418.542
ext4_write,1418.543
ext4_write,1418.559
ext4_write,1418.57
ext4_write,1418.69
ext4_write,1418.692
ext4_write,1418.702
ext4_write,1418.737
ext4_write,1418.757
ext4_write,1418.802
ext4_write,1418.813
ext4_write,1418.831
ext4_write,1418.858
ext4_write,1418.876
ext4_write,1418.878
ext4_write,1418.933
ext4_write,1418.971
ext4_write,1419.047
